event,theta,theta2
643,0.0030477286,1.3810118e-06
644,0.0087583174,6.8800486e-05
645,0.84950719,0.72165456
646,0.0026152142,0
647,0.0027393615,0
648,0.007917195,5.4774339e-05
649,0.00061890814,0
650,0.0072019856,4.3960959e-05
651,0.0022489382,0
652,0.36236541,0.13130078
653,0.18508263,0.034247671
654,0.0019036461,0
655,0.0031793933,2.2009041e-06
656,0.0058510679,2.6327358e-05
657,0.002054075,0
658,0.0034461576,3.9683643e-06
659,0.017330979,0.00029245519
660,0.003849471,6.9107896e-06
661,0.00089955493,0
662,0.0016016413,0
663,0.0074981012,4.8313885e-05
664,0.0061114724,2.9442457e-05
665,0.083181557,0.0069112639
666,0.045149371,0.0020305581
667,0.041718103,0.0017324925
668,0.0094148353,8.0731486e-05
669,0.0033154049,3.0842718e-06
670,0.0076812691,5.1094257e-05
671,0.0044346416,1.1758409e-05
672,0.0040427418,8.4361238e-06
673,0.054263814,0.0029366539
674,0.0052789116,1.995927e-05
675,0.0023973257,0
676,0.006222428,3.0810973e-05
677,0.0035497014,4.6927426e-06
678,0.0014893015,0
679,0.0066865901,3.680285e-05
679,2.8553022,8.1527428
680,0.30393755,0.092370129
681,0.3252863,0.10580327
682,0.35599094,0.12672164
682,2.8937521,8.3737931
683,0.0027133372,0
684,0.010374591,9.9724497e-05
685,0.0038560749,6.9616762e-06
686,0.0045514152,1.2807742e-05
687,0.0061163155,2.9501678e-05
688,0.001128051,0
688,3.0002615,9.0015614
689,0.0039426464,7.6368233e-06
690,0.0043807682,1.1283492e-05
691,0.0052748694,1.9916609e-05
692,0.0023916079,0
693,0.0026030794,0
694,0.0034941948,4.3017599e-06
695,0.0052104926,1.9241596e-05
696,0.0083656726,6.2076841e-05
696,2.5867594,6.6913161
697,0.71812725,0.51569884
698,0.29265571,0.085639456
699,0.0016387137,0
699,2.7525638,7.5765995
700,0.0084976501,6.430242e-05
701,0.00062395426,0
702,0.0063536076,3.2460692e-05
703,0.0019083577,0
704,0.011024136,0.00011362394
705,0.0089085322,7.1454308e-05
706,0.66278276,0.43927308
707,0.053643878,0.002869758
708,0.84752298,0.71828729
709,0.0037453176,6.1197661e-06
710,0.0016230637,0
711,0.0046915121,1.4102648e-05
712,0.39886095,0.15908215
713,0.0014503906,0
714,0.34854913,0.12147859
715,0.0056776342,2.4327892e-05
716,0.14196851,0.020147151
717,0.00035415795,0
718,0.0022144704,0
719,0.0039192661,7.4530088e-06
720,0.12711231,0.016149631
721,0.0048817961,1.5924295e-05
722,0.0065689722,3.5243758e-05
723,0.0068539469,3.906895e-05
724,0.63898922,0.40829932
725,0.0026208167,0
726,0.0057013241,2.4597459e-05
727,0.0068991922,3.9691215e-05
728,0.0076283775,5.0284506e-05
729,0.0049425131,1.6520798e-05
730,0.041482269,0.001712871
731,0.0041831192,9.5908486e-06
732,0.52232423,0.27281469
733,0.65164524,0.42463361
734,0.0071200786,4.2787881e-05
735,0.005542765,2.2814606e-05
736,0.51201552,0.26215198
737,0.0021719391,0
738,0.0096148844,8.4538365e-05
739,0.0085623992,6.5407042e-05
740,0.78807701,0.62105746
741,0.011732126,0.00012973514
742,0.28969817,0.083917124
743,0.0032044727,2.3610075e-06
744,0.0023666466,0
745,0.0026990412,0
746,0.19770271,0.039078453
747,0.47234455,0.22310147
748,0.0083321618,6.1517283e-05
749,0.0082562279,6.0257662e-05
750,0.32487459,0.10553559
750,2.6474613,7.0090435
751,0.23690463,0.056115898
752,0.0052586817,1.9746096e-05
753,0.0055548662,2.2948901e-05
754,0.0012517025,0
754,2.9759637,8.8563523
755,0.0052027835,1.9161318e-05
756,0.0021715603,0
757,0.0022215787,0
758,0.0090180365,7.3417345e-05
759,0.0035980681,5.0384561e-06
760,0.005435009,2.1631685e-05
761,0.002334978,0
762,0.0019318907,0
763,0.0022609277,0
764,0.0070394181,4.1645769e-05
765,0.019816389,0.00038478164
766,0.0049814752,1.6907458e-05
767,0.0028870115,4.2719808e-07
768,0.0069333514,4.0163724e-05
769,0.0020375378,0
770,0.16566504,0.027436998
770,2.8049433,7.8676988
771,0.042265745,0.0017784856
772,0.002628783,0
773,0.0076874934,5.1189918e-05
774,0.003737184,6.0589067e-06
775,0.0035456392,4.6639198e-06
776,0.0061698106,3.0158926e-05
777,0.0046492943,1.37083e-05
778,0.002991529,1.0416081e-06
778,2.6388255,6.9633919
779,0.34091865,0.11621762
780,0.0026233214,0
781,0.0093981413,8.0417423e-05
782,0.0039878649,7.9954289e-06
783,0.0020596344,0
784,0.0035226638,4.501523e-06
785,0.0052470278,1.9623663e-05
786,0.0020160112,0
787,0.0033731001,3.4701669e-06
788,0.010510123,0.00010255504
789,0.0064452864,3.3634079e-05
790,0.0013219375,0
791,0.1657563,0.027467244
792,0.0060595952,2.8811057e-05
793,0.0039365691,7.5889387e-06
794,0.30129389,0.0907701
795,0.004346476,1.0984216e-05
796,0.0033516078,3.325637e-06
797,0.0012355256,0
798,0.0025124928,0
799,0.0048380816,1.5499396e-05
800,0.0058062501,2.5804903e-05
801,0.17893667,0.032010423
801,2.8249791,7.9804989
802,0.00028423363,0
802,2.6042432,6.7820747
803,0.0094643353,8.1666005e-05
804,0.0015033165,0
805,0.0045027214,1.2366862e-05
806,0.0059886702,2.7956533e-05
806,2.7181343,7.3882463
807,0.0014117305,0
807,2.7431626,7.5249331
807,2.7519561,7.5732542
808,0.0052610618,1.9771134e-05
809,0.0073638489,4.6318633e-05
810,0.25155048,0.063269735
811,0.0029188557,6.1208085e-07
812,0.0046787864,1.3983404e-05
813,0.0043464404,1.0983906e-05
814,0.0015651047,0
815,0.0034006552,3.656818e-06
816,0.0029380343,7.2440785e-07
817,0.0078803417,5.4192147e-05
818,0.47960584,0.23001385
819,0.0018143874,0
820,0.0032638521,2.7450927e-06
821,0.0027069233,0
822,0.0031371814,1.9342698e-06
823,0.0093517653,7.9547878e-05
824,0.005374239,2.0974807e-05
825,0.63500762,0.40322677
826,0.0041982953,9.7180455e-06
827,0.0074295888,4.7291153e-05
828,0.63532354,0.40362809
828,2.7125136,7.3577221
828,2.8121589,7.9082298
829,0.002663772,0
830,0.011289598,0.00011954739
831,0.15523134,0.02408886
832,0.26119918,0.068217104
833,0.45701289,0.20885288
834,0.13278796,0.017624736
835,0.0012419417,0
836,0.0027165457,0
837,0.0066130392,3.582465e-05
838,0.0031572576,2.0606382e-06
839,0.030830037,0.00094258353
840,0.0026435659,0
841,0.5165197,0.26678469
